xpath,frequency,uniques
/dictionary/body/p/syn/subclass/,8,5
/dictionary/body/p/cs/def/er/,4,4
/dictionary/body/p/cs/cd/as/it/,28,22
/dictionary/body/p/def/chname/,72,65
/dictionary/body/p/note/centered/point18/greatprimertype/,1,1
/dictionary/body/p/note/bold/,16,13
/dictionary/body/p/mhw/xex/,2,2
/dictionary/body/p/cs/table/column1/vertical/,1,1
/dictionary/body/p/def/cref/,1402,1015
/dictionary/body/p/def2/singf/,2,2
/dictionary/body/p/vmorph/conjf/i/,2,2
/dictionary/body/p/nmorph/plu/plw/,5,5
/dictionary/body/p/cs/pbr/,399,1
/dictionary/body/p/def/altname/fam/,3,3
/dictionary/body/p/def/isa/ecol/b/,3,2
/dictionary/body/p/sing/singf/,1,1
/dictionary/body/p/def/prodby/spn/,7,6
/dictionary/body/p/note/as/,76,68
/dictionary/body/p/note/ecol/,14,12
/dictionary/body/p/nmorph/er/,6,6
/dictionary/body/p/plu/pluf/,2,2
/dictionary/body/p/def/prod/,151,132
/dictionary/body/p/def2/def/fam/,36,29
/dictionary/body/p/table/CAPTION/b/,1,1
/dictionary/body/p/def/cnvto/,4,4
/dictionary/body/p/mtable/row/item/,1,1
/dictionary/body/p/cs/def/,9,9
/dictionary/body/p/def/hascons/,4,2
/dictionary/body/p/wordforms/au/,45,39
/dictionary/body/p/mark/pos/,4,4
/dictionary/body/p/amorph/it/,21,18
/dictionary/body/p/def/stype/er/,1,1
/dictionary/body/p/def/sub/,15,14
/dictionary/body/p/wordforms/pr/i/,2,2
/dictionary/body/p/def/memberof/org/,1,1
/dictionary/body/p/def/br/,5,5
/dictionary/body/p/note/rj/au/,90,64
/dictionary/body/p/cs/cd/geog/,40,34
/dictionary/body/p/cs/table/pbr/,12,1
/dictionary/body/note/pre/,1,1
/dictionary/body/p/def2/pluf/,4,2
/dictionary/body/p/note/longprimertype/it/,2,2
/dictionary/body/p/note/spn/,1934,1714
/dictionary/body/p/note/pbr/,139,34
/dictionary/body/p/vmorph/er/,20,16
/dictionary/body/p/caption/qex/,2,2
/dictionary/body/p/pearltype/ex/,2,2
/dictionary/body/p/note/fam/,62,60
/dictionary/body/p/ety/city/,2,2
/dictionary/front/div0/H2/,2,2
/dictionary/body/p/cs/table/row/,21,19
/dictionary/body/p/def/as/fam/,2,2
/dictionary/body/p/def/,173754,131638
/dictionary/body/p/cs/cd/country/,26,23
/dictionary/body/p/syn/as/ex/,24,20
/dictionary/body/p/def/col/b/ex/,2,2
/dictionary/body/p/def2/def/examp/,4,4
/dictionary/body/p/q/company/,8,3
/dictionary/body/p/def/country/,100,70
/dictionary/body/p/note/smpicatype/,1,1
/dictionary/body/p/def/mcol/it/,10,2
/dictionary/body/p/cs/plu/col/b/,1,1
/dictionary/body/p/syn/pos/,22,5
/dictionary/body/p/def/divof/,1,1
/dictionary/front/div0/au.entry/au.who/,2212,2212
/dictionary/body/p/def/subfam/,10,10
/dictionary/body/p/cs/cd/cnvto/,4,4
/dictionary/body/p/cs/sd/,4482,48
/dictionary/body/p/def/mcol/prod/col/b/,2,2
/dictionary/body/p/note/h2/,1,1
/dictionary/body/p/mord/,30,9
/dictionary/front/div0/au.entry/au.who/i/,29,29
/dictionary/body/p/cd/sd/,2,2
/dictionary/body/p/def/as/au/,8,8
/dictionary/body/p/mark/,30184,961
/dictionary/body/p/def/as/sd/,2,2
/dictionary/body/p/def/styp/,46,45
/dictionary/body/p/subtypes/sd/,12,5
/dictionary/body/p/col/b/,49,49
/dictionary/body/p/note/table/row/typewritertype/,1,1
/dictionary/body/p/def/er/as/,2,2
/dictionary/body/p/er/,193,115
/dictionary/body/p/q/grk/,2,2
/dictionary/body/p/note/styp/,34,27
/dictionary/body/p/cs/table/pre/row/,6,5
/dictionary/body/p/table/caption/,1,1
/dictionary/body/p/note/rj/,85,72
/dictionary/body/p/def/persfn/,466,383
/dictionary/body/p/ex/,78,65
/dictionary/body/p/mark/i/,6,4
/dictionary/body/p/altsp/it/,16,13
/dictionary/body/p/def/altname/sup/,2,2
/dictionary/body/p/def/altname/,11458,9056
/dictionary/body/p/cs/cd/ord/,30,28
/dictionary/body/p/q/qau/,4,3
/dictionary/body/p/ety/booki/,2,2
/dictionary/body/p/cs/cd/mathex/,52,49
/dictionary/body/p/def/iref/,1,1
/dictionary/body/p/wordforms/def/ord/,2,2
/dictionary/body/p/cs/source/,841,5
/dictionary/body/p/cs/cd2/cd/,2,2
/dictionary/body/p/cs/note/pbr/,3,2
/dictionary/body/p/cs/cd/,47541,18820
/dictionary/body/p/cs/altsp/asp/,40,28
/dictionary/body/p/def/corr/,8,8
/dictionary/body/p/def2/def/er/,60,50
/dictionary/body/p/sing/singw/,179,107
/dictionary/body/p/def/note/contr/,4,4
/dictionary/body/p/note/picatype/it/,2,2
/dictionary/body/p/note/as/it/,12,9
